"Periodo","edad_mayor","Total","Hombres","Mujeres","porc_total","porc_hombres","porc_mujeres"
2024,"entre65y79",6981036.451748,3237199.802495,3743836.649253,14.7238013629299,6.82762326102989,7.89617810189999
2024,"mas80",3017746.369248,1140009.467328,1877736.90192,6.36477096368473,2.40440987019829,3.96036109348644
2025,"entre65y79",7133614.096837,3311833.055975,3821781.040862,15.0339968233125,6.97964411404679,8.05435270926574
2025,"mas80",3091114.784834,1174140.493134,1916974.2917,6.51448329343944,2.47448547177874,4.03999782166071
2026,"entre65y79",7284755.842268,3386776.035291,3897979.806977,15.338709795543,7.13116209693789,8.20754769860513
2026,"mas80",3177949.337942,1213457.90055,1964491.437392,6.69145867000728,2.55504494435472,4.13641372565256
2027,"entre65y79",7448823.34911,3466972.157468,3981851.191642,15.6675067399976,7.29226712713008,8.3752396128675
2027,"mas80",3243851.389924,1243293.039887,2000558.350037,6.82296533737201,2.61508444612921,4.2078808912428
2028,"entre65y79",7609830.151924,3545576.287961,4064253.863963,15.9864217860912,7.44840251129357,8.53801927479768
2028,"mas80",3321667.15623,1278749.991676,2042917.164554,6.97802331095042,2.68634599166772,4.2916773192827
2029,"entre65y79",7757230.885512,3620127.911403,4137102.974109,16.2725780287077,7.59405189579061,8.67852613291707
2029,"mas80",3429079.22513,1326554.416133,2102524.808997,7.19328328382808,2.78275335160741,4.41052993222068
2030,"entre65y79",7953578.776937,3717318.876978,4236259.899959,16.6570559294057,7.78512292111906,8.87193300828669
2030,"mas80",3513679.50234,1363589.16892,2150090.33342,7.35864415628803,2.85574351979694,4.50290063649108
2031,"entre65y79",8154171.213814,3814577.18056,4339594.033254,17.0454557797955,7.97398103926243,9.07147474053304
2031,"mas80",3579015.287133,1392781.525804,2186233.761329,7.48156314263885,2.911466449072,4.57009669356686
2032,"entre65y79",8349517.731623,3910432.944467,4439084.787156,17.4174496896121,8.15732971221758,9.26011997739456
2032,"mas80",3647850.481256,1423310.447808,2224540.033448,7.60957150756939,2.96908622919666,4.64048527837273
2033,"entre65y79",8534212.014759,4000889.978046,4533322.036713,17.7623466899551,8.32709507749751,9.43525161245756
2033,"mas80",3736741.408354,1463052.06154,2273689.346814,7.77731983586876,3.0450658944944,4.73225394137437
2034,"entre65y79",8710840.276289,4088532.712174,4622307.564115,18.0859939851268,8.48886854711969,9.5971254380071
2034,"mas80",3821563.093588,1499855.667455,2321707.426133,7.93456944820257,3.11409459016115,4.82047485804142
2035,"entre65y79",8892405.852746,4179345.003702,4713060.849044,18.4166964772573,8.65566975703802,9.76102672021926
2035,"mas80",3900207.525281,1532911.582964,2367295.942317,8.07755959195609,3.17475021016974,4.90280938178635
